timestamp,gctMs,swingTime,strideTime,gaitCycleTime,cadence,gctPct,activityType,speedMps,vgrfAverage,fsaDeg,strideLenM,vgrfImpulseBws,vgrfActivePeakBw,lrInstantaneousBwps,vgrfCurveBnOutput0,vgrfCurveBnOutput1,vgrfCurveBnOutput2,vgrfCurveBnOutput3,latitude,longitude
1762989231.67769,228.542343,549.288635,775.325928,777.830994,77.38681,29.382006,2,4.020003,1.68548,3.282352,3.116812,0.385204,2.722756,126.793015,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989232.461821,222.128372,554.450073,784.09375,776.57843,76.521461,28.60347,2,3.922849,1.730168,2.04887,3.075881,0.384319,2.796097,173.118149,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989233.238436,222.128372,554.450073,776.57843,776.57843,77.261993,28.60347,2,4.072275,1.730168,2.486641,3.162441,0.384319,2.796097,155.08577,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989234.022567,218.921371,561.414734,784.09375,780.336121,76.521461,28.054752,2,4.248974,1.763154,2.320711,3.331594,0.385992,2.851321,198.629868,1.67871,1.724712,0.518859,3.265605,45.51201762412526,-122.83078918528487
1762989234.810467,213.576385,568.012207,787.851379,781.588623,76.156494,27.325933,2,4.175196,1.809015,2.112394,3.289433,0.386363,2.929637,186.352249,1.67871,1.724712,0.518859,3.265605,45.51201762412526,-122.83078918528487
1762989235.61088,206.093384,585.515625,800.376831,791.609009,74.964691,26.034746,2,4.181489,1.896568,1.655736,3.346767,0.39087,3.08411,214.678299,1.67871,1.724712,0.518859,3.265605,45.51165901587706,-122.83309563308181
1762989236.396263,212.507385,580.354187,785.346252,792.861572,76.399422,26.802584,2,4.233132,1.843486,3.063117,3.324474,0.391754,2.989678,178.763596,1.67871,1.724712,0.518859,3.265605,45.511615135242174,-122.83313040501068
1762989237.201699,205.024399,591.594788,805.387024,796.619202,74.498344,25.736814,2,4.233917,1.918017,1.381203,3.409942,0.39324,3.122948,229.691299,1.67871,1.724712,0.518859,3.265605,45.511615135242174,-122.83313040501068
1762989237.98583,211.438385,580.170654,784.09375,791.609009,76.521461,26.709953,2,4.273038,1.849727,2.379734,3.350462,0.391103,3.000658,187.399033,1.67871,1.724712,0.518859,3.265605,45.51158457401955,-122.83314761307194
1762989238.779981,201.817413,581.023804,794.114136,782.841187,75.555893,25.780123,2,4.329035,1.914868,3.016193,3.437748,0.386454,3.117222,167.448135,1.67871,1.724712,0.518859,3.265605,45.51155052951859,-122.8331654010601
